#ZVView-data-copy:  15-Oct-2023 02:08:41
#=======================================
#
#name:   ENDF/B-VIII.0: U-235(N,F)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  46125
#data...
#            X            Y
#          MeV        barns
         1e-11      30922.8 
   1.10304e-11        29443 
   1.21669e-11        28034 
   1.34206e-11      26692.4 
   1.48034e-11      25415.1 
   1.63287e-11      24198.8 
   1.80111e-11      23040.7 
   1.98669e-11      21938.1 
   2.19139e-11      20888.2 
   2.41719e-11      19888.5 
   2.66625e-11      18936.7 
   2.94097e-11      18030.4 
     3.244e-11      17167.4 
   3.57825e-11      16345.7 
   3.94694e-11      15563.4 
   4.35362e-11      14818.5 
   4.80221e-11      14109.2 
   5.29701e-11      13433.8 
    5.8428e-11      12790.8 
   6.44483e-11      12178.5 
   7.10888e-11      11595.4 
   7.84136e-11      11040.3 
   8.64931e-11      10511.7 
   9.54051e-11      10008.4 
   1.05235e-10      9529.22 
   1.16078e-10       9072.9 
   1.28039e-10      8638.41 
   1.41231e-10      8224.68 
   1.55784e-10      7830.74 
   1.71835e-10      7455.63 
    1.8954e-10      7098.45 
    2.0907e-10      6758.33 
   2.30612e-10      6434.48 
   2.54374e-10      6126.09 
   2.80584e-10      5832.44 
   3.09494e-10      5552.82 
   3.41383e-10      5286.55 
   3.76558e-10      5032.99 
   4.15358e-10      4791.54 
   4.58155e-10      4561.61 
   5.05362e-10      4342.66 
   5.57433e-10      4134.15 
   6.14869e-10      3935.58 
   6.78223e-10      3746.48 
   7.48105e-10       3566.4 
   8.25188e-10      3394.89 
   9.10213e-10      3231.56 
      1.004e-9         3076 
    1.10745e-9      2927.85 
    1.22155e-9      2786.74 
    1.34742e-9      2652.35 
    1.48625e-9      2524.34 
    1.63939e-9      2402.42 
    1.80831e-9      2286.28 
    1.99463e-9      2175.67 
    2.20016e-9       2070.3 
    2.42685e-9      1969.94 
    2.67691e-9      1874.35 
    2.95273e-9      1783.31 
    3.25697e-9      1696.61 
    3.59256e-9      1614.04 
    3.96272e-9      1535.42 
    4.37103e-9      1460.53 
    4.82141e-9      1389.19 
    5.31819e-9       1321.2 
    5.86616e-9       1256.4 
    6.47059e-9      1194.67 
     7.1373e-9      1135.89 
    7.87271e-9      1079.92 
    8.68389e-9      1026.65 
    9.57865e-9      975.963 
    1.05656e-8       927.74 
