#ZVView-data-copy:   7-Jun-2025 07:17:23
#=======================================
#
#name:   INDEN-Aug2023: U-235(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  109342
#data...
#            X            Y
#          MeV        barns
         1e-11      36944.9 
   1.10304e-11      35177.1 
   1.11082e-11      35061.8 
   1.21669e-11      33493.9 
   1.23386e-11      33274.4 
   1.34206e-11      31891.2 
   1.37059e-11      31576.3 
   1.48034e-11      30365.2 
    1.5224e-11      29964.5 
   1.63287e-11      28912.3 
   1.69111e-11      28433.3 
   1.80111e-11      27528.8 
   1.87842e-11        26980 
   1.98669e-11      26211.6 
   2.08658e-11      25599.5 
   2.19139e-11      24957.4 
    2.3177e-11      24289.3 
   2.41719e-11      23763.2 
   2.57455e-11      23044.8 
   2.66625e-11      22626.2 
   2.85971e-11      21863.7 
   2.94097e-11      21543.5 
   3.17662e-11      20741.9 
     3.244e-11      20512.7 
   3.52847e-11      19677.3 
   3.57825e-11      19531.2 
   3.91949e-11      18666.2 
   3.94694e-11      18596.6 
   4.35362e-11      17706.8 
   4.80221e-11      16859.6 
   4.86996e-11      16749.1 
   5.29701e-11      16052.9 
   5.44753e-11        15841 
    5.8428e-11      15284.8 
    6.0936e-11      14980.1 
   6.44483e-11      14553.5 
   6.81629e-11      14163.9 
   7.10888e-11      13857.1 
    7.6247e-11      13390.2 
   7.84136e-11      13194.1 
   8.58914e-11      12609.8 
   8.64931e-11      12562.8 
   9.54051e-11      11961.7 
   9.67511e-11      11883.3 
   1.05235e-10      11389.3 
   1.08989e-10      11200.6 
   1.16078e-10      10844.4 
   1.23635e-10      10516.5 
   1.28039e-10      10325.5 
   1.40249e-10      9868.19 
   1.41231e-10      9831.41 
   1.55784e-10      9360.98 
    1.6021e-10      9237.43 
   1.71835e-10      8913.06 
   1.83021e-10      8643.56 
    1.8954e-10      8486.54 
    2.0907e-10      8080.42 
   2.10545e-10      8053.94 
   2.30612e-10      7693.74 
   2.43904e-10      7487.75 
   2.54374e-10      7325.53 
   2.80584e-10      6974.92 
   2.84542e-10       6929.2 
   3.09494e-10      6641.08 
   3.34292e-10      6393.85 
   3.41383e-10      6323.17 
   3.76558e-10      6020.47 
   3.98262e-10      5859.21 
   4.15358e-10      5732.22 
   4.58155e-10      5457.73 
   4.81192e-10      5330.16 
   5.05362e-10      5196.34 
   5.57433e-10      4947.43 
   5.89562e-10      4814.81 
   6.14869e-10      4710.38 
   6.78223e-10      4484.65 
   7.37698e-10      4301.67 
   7.48105e-10      4269.66 
   8.25188e-10      4064.93 
   9.10213e-10      3869.93 
   9.49283e-10      3792.56 
      1.004e-9      3684.22 
    1.10745e-9      3507.34 
    1.22155e-9      3338.86 
    1.26513e-9       3283.3 
    1.34742e-9      3178.38 
    1.48625e-9      3025.53 
    1.63939e-9       2879.9 
    1.77075e-9      2772.02 
    1.80831e-9      2741.17 
    1.99463e-9      2609.02 
    2.20016e-9      2483.11 
    2.42685e-9      2363.13 
    2.63967e-9      2265.83 
    2.67691e-9      2248.81 
    2.95273e-9      2139.89 
    3.25697e-9      2036.08 
    3.59256e-9      1937.16 
    3.96272e-9      1842.87 
    4.34062e-9      1759.67 
    4.37103e-9      1752.98 
    4.82141e-9       1667.3 
    5.31819e-9       1585.6 
    5.86616e-9      1507.68 
    6.47059e-9      1433.37 
     7.1373e-9      1362.53 
    7.87271e-9      1295.14 
    7.89126e-9      1293.44 
     7.8979e-9       1292.9 
    8.42946e-9      1250.79 
    8.66899e-9      1231.83 
    8.68389e-9      1230.78 
    8.73014e-9      1227.54 
    9.56222e-9      1170.53 
    9.57865e-9      1169.54 
    9.69712e-9      1162.37 
    1.05475e-8      1112.08 
    1.05656e-8      1111.13 
    1.06963e-8      1104.31 
    1.16343e-8      1056.39 
    1.16543e-8      1055.49 
    1.17984e-8      1048.99 
     1.2833e-8      1003.35 
    1.28551e-8      1002.49 
    1.30141e-8      996.302 
    1.41553e-8      952.846 
    1.41796e-8      952.029 
     1.4355e-8      946.135 
    1.56138e-8      904.775 
    1.56406e-8      903.996 
    1.58341e-8      898.383 
    1.72226e-8      858.995 
    1.72522e-8      858.252 
    1.73441e-8      855.948 
    1.89972e-8      815.426 
    1.90298e-8      814.734 
    2.08088e-8      777.033 
    2.09546e-8      774.011 
    2.09906e-8       773.35 
    2.23187e-8      748.976 
    2.27921e-8      740.289 
    2.31137e-8      734.516 
    2.31534e-8      733.879 
    2.47908e-8      707.616 
    2.52203e-8      700.818 
    2.52419e-8      700.495 
       2.53e-8      699.626 
    2.75186e-8      668.776 
    2.79068e-8      663.493 
    2.99317e-8      639.008 
    3.07823e-8      628.947 
    3.25565e-8      610.275 
     3.3954e-8      595.888 
    3.54114e-8      582.532 
    3.74525e-8      564.236 
    3.85167e-8      555.744 
    4.13115e-8      533.926 
    4.18943e-8      529.875 
    4.55681e-8      504.881 
     4.9564e-8       481.12 
    4.99137e-8       479.08 
    5.02633e-8      477.258 
    5.39104e-8       458.25 
     5.4671e-8       454.36 
    5.54423e-8      450.839 
    5.86379e-8       436.25 
    5.98846e-8      430.664 
