#ZVView-data-copy:  18-May-2025 12:09:41
#=======================================
#
#name:   ENDF/B-VIII.1: U-238(N,F)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  12043
#data...
#            X            Y
#          MeV        barns
         1e-11  0.000928993 
   1.10304e-11   0.00088454 
   1.21669e-11  0.000842214 
   1.34206e-11  0.000801913 
   1.48034e-11  0.000763541 
   1.63287e-11  0.000727005 
   1.80111e-11  0.000692217 
   1.98669e-11  0.000659094 
   2.19139e-11  0.000627556 
   2.41719e-11  0.000597527 
   2.66625e-11  0.000568935 
   2.94097e-11  0.000541711 
     3.244e-11   0.00051579 
   3.57825e-11  0.000491109 
   3.94694e-11  0.000467609 
   4.35362e-11  0.000445234 
   4.80221e-11  0.000423929 
   5.29701e-11  0.000403644 
    5.8428e-11  0.000384329 
   6.44483e-11  0.000365939 
   7.10888e-11  0.000348429 
   7.84136e-11  0.000331756 
   8.64931e-11  0.000315882 
   9.54051e-11  0.000300767 
   1.05235e-10  0.000286375 
   1.16078e-10  0.000272672 
   1.28039e-10  0.000259625 
   1.41231e-10  0.000247202 
   1.55784e-10  0.000235373 
   1.71835e-10  0.000224111 
    1.8954e-10  0.000213387 
    2.0907e-10  0.000203177 
   2.30612e-10  0.000193455 
   2.54374e-10  0.000184198 
   2.80584e-10  0.000175384 
   3.09494e-10  0.000166993 
   3.41383e-10  0.000159002 
   3.76558e-10  0.000151394 
   4.15358e-10   0.00014415 
   4.58155e-10  0.000137253 
   5.05362e-10  0.000130686 
   5.57433e-10  0.000124433 
   6.14869e-10  0.000118479 
   6.78223e-10  0.000112811 
   7.48105e-10  0.000107413 
   8.25188e-10  0.000102274 
   9.10213e-10    9.7381e-5 
      1.004e-9   9.27219e-5 
    1.10745e-9   8.82859e-5 
    1.22155e-9   8.40621e-5 
    1.34742e-9   8.00405e-5 
    1.48625e-9   7.62114e-5 
    1.63939e-9   7.25656e-5 
    1.80831e-9   6.90943e-5 
    1.99463e-9   6.57891e-5 
    2.20016e-9   6.26422e-5 
    2.42685e-9   5.96459e-5 
    2.67691e-9   5.67932e-5 
    2.95273e-9   5.40771e-5 
    3.25697e-9   5.14913e-5 
    3.59256e-9   4.90295e-5 
    3.96272e-9   4.66858e-5 
    4.37103e-9   4.44543e-5 
    4.82141e-9   4.23297e-5 
    5.31819e-9   4.03065e-5 
    5.86616e-9     3.838e-5 
    6.47059e-9   3.65455e-5 
     7.1373e-9   3.47989e-5 
    7.87271e-9   3.31358e-5 
    8.68389e-9   3.15524e-5 
    9.57865e-9   3.00449e-5 
    1.05656e-8   2.86096e-5 
    1.16543e-8   2.72431e-5 
    1.28551e-8   2.59421e-5 
    1.41796e-8   2.47035e-5 
    1.56406e-8   2.35244e-5 
    1.72522e-8   2.24018e-5 
    1.90298e-8    2.1333e-5 
    2.09906e-8   2.03155e-5 
    2.31534e-8   1.93469e-5 
    2.52419e-8   1.85324e-5 
       2.53e-8   1.85112e-5 
    2.79068e-8   1.76294e-5 
    3.07823e-8     1.679e-5 
     3.3954e-8   1.59909e-5 
    3.74525e-8   1.52303e-5 
    4.13115e-8   1.45062e-5 
    4.55681e-8   1.38171e-5 
    5.02633e-8   1.31612e-5 
    5.54423e-8   1.25369e-5 
    6.11549e-8   1.19428e-5 
    6.74561e-8   1.13775e-5 
    7.44066e-8   1.08394e-5 
    8.20732e-8   1.03275e-5 
    9.05297e-8   9.84043e-6 
    9.98577e-8   9.37702e-6 
