#name:   IAEA-Std17: LI-6(N,T)HE-4
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  349
#data...
#            X            Y
#          MeV        barns
         1e-11      47181.9 
   1.09051e-11      45181.5 
   1.21607e-11      42785.4 
   1.33221e-11        40878 
   1.47464e-11      38853.7 
   1.63749e-11        36871 
   1.75872e-11      35577.6 
    1.9161e-11      34085.2 
   2.08855e-11      32647.7 
   2.26528e-11      31348.3 
   2.51416e-11      29756.3 
   2.66441e-11      28905.1 
   2.94928e-11      27473.7 
   3.27499e-11      26071.8 
   3.51745e-11      25157.1 
   3.83221e-11      24101.8 
   4.17709e-11      23085.4 
   4.53055e-11      22166.6 
   5.02833e-11      21040.8 
   5.32883e-11        20439 
   5.89856e-11      19426.8 
   6.54997e-11      18435.5 
   7.03489e-11      17788.8 
   7.66442e-11      17042.6 
   8.45897e-11      16222.4 
   9.19727e-11      15557.7 
         1e-10      14920.2 
   1.09051e-10      14287.6 
   1.21607e-10      13529.9 
   1.33221e-10      12926.7 
   1.47464e-10      12286.6 
   1.63749e-10      11659.6 
   1.75872e-10      11250.6 
    1.9161e-10      10778.7 
   2.08855e-10      10324.1 
   2.26528e-10      9913.19 
   2.51416e-10      9409.73 
   2.66441e-10      9140.57 
   2.94928e-10      8687.92 
   3.27499e-10      8244.59 
   3.51745e-10      7955.36 
   3.83221e-10      7621.65 
    4.1771e-10      7300.23 
   4.53055e-10      7009.67 
   5.02833e-10      6653.68 
   5.32883e-10      6463.35 
   5.89856e-10      6143.28 
   6.54997e-10       5829.8 
   7.03489e-10      5625.28 
   7.66442e-10      5389.31 
   8.45897e-10      5129.96 
   9.19727e-10      4919.76 
          1e-9      4718.16 
    1.09051e-9      4518.13 
    1.21607e-9      4278.52 
    1.33221e-9      4087.77 
    1.47464e-9      3885.34 
    1.63749e-9      3687.07 
    1.75872e-9      3557.73 
     1.9161e-9      3408.49 
    2.08855e-9      3264.74 
    2.26528e-9       3134.8 
    2.51416e-9       2975.6 
    2.66441e-9      2890.48 
    2.94928e-9      2747.34 
    3.27499e-9      2607.15 
    3.51745e-9      2515.68 
    3.83221e-9      2410.15 
     4.1771e-9      2308.51 
    4.53055e-9      2216.63 
    5.02833e-9      2104.06 
    5.32883e-9      2043.87 
    5.89856e-9      1942.65 
    6.54997e-9      1843.52 
    7.03489e-9      1778.85 
    7.66442e-9      1704.23 
    8.45897e-9      1622.22 
    9.19727e-9      1555.74 
          1e-8      1491.99 
    1.09051e-8      1428.74 
    1.21607e-8      1352.97 
    1.33221e-8      1292.65 
    1.47464e-8      1228.63 
    1.63749e-8      1165.94 
    1.75872e-8      1125.03 
     1.9161e-8      1077.84 
    2.12106e-8      1024.44 
    2.31652e-8      980.267 
    2.42091e-8        958.9 
       2.53e-8      937.998 
    2.75487e-8      898.898 
    3.06632e-8      852.025 
    3.35389e-8      814.677 
    3.70599e-8       775.01 
    4.10785e-8      736.125 
    4.40655e-8      710.737 
    4.79379e-8      681.424 
    5.22137e-8      652.926 
    5.66319e-8      626.938 
    6.28541e-8      595.097 
    6.66104e-8      578.073 
     7.3732e-8      549.445 
    8.18746e-8      521.407 
    8.79362e-8      503.114 
    9.58052e-8      482.009 
    1.04427e-7       461.68 
    1.13264e-7      443.304 
    1.25708e-7      420.788 
    1.33221e-7      408.751 
    1.47464e-7      388.508 
    1.63749e-7      368.682 
    1.75872e-7      355.747 
     1.9161e-7      340.823 
    2.08855e-7      326.449 
    2.26528e-7      313.454 
    2.51416e-7      297.534 
    2.66441e-7      289.022 
    2.94928e-7      274.708 
    3.27499e-7      260.688 
    3.51745e-7      251.542 
    3.83221e-7      240.989 
    4.22949e-7      229.391 
    4.59863e-7      219.991 
          5e-7      210.975 
    5.45254e-7      202.029 
    6.08035e-7      191.313 
    6.66104e-7      182.783 
     7.3732e-7       173.73 
    8.18747e-7      164.863 
    8.79362e-7      159.079 
    9.58052e-7      152.405 
    1.04427e-6      145.976 
    1.13264e-6      140.165 
    1.25708e-6      133.045 
    1.33221e-6      129.239 
    1.47464e-6      122.837 
    1.63749e-6      116.568 
    1.75872e-6      112.477 
     1.9161e-6      107.758 
    2.08855e-6      103.213 
    2.26528e-6      99.1033 
    2.51416e-6      94.0686 
    2.66441e-6      91.3768 
    2.94928e-6      86.8503 
    3.27499e-6      82.4171 
    3.51745e-6      79.5249 
    3.83221e-6      76.1879 
    4.22949e-6      72.5203 
    4.59863e-6      69.5477 
          5e-6       66.697 
    5.45254e-6      63.8679 
    6.08035e-6      60.4792 
    6.66104e-6      57.7816 
    7.37321e-6      54.9188 
    8.18747e-6      52.1151 
    8.79362e-6       50.286 
    9.58052e-6      48.1756 
    1.04427e-5      46.1427 
    1.13264e-5       44.305 
    1.25708e-5      42.0534 
    1.33221e-5      40.8497 
    1.47464e-5      38.8254 
    1.63749e-5      36.8429 
    1.75872e-5      35.5496 
     1.9161e-5      34.0574 
    2.08855e-5      32.6199 
    2.26528e-5      31.3204 
    2.51416e-5      29.7282 
    2.66441e-5       28.877 
    2.94928e-5      27.4456 
    3.27499e-5      26.0438 
    3.51745e-5      25.1293 
    3.83221e-5      24.0741 
    4.22949e-5      22.9145 
    4.59863e-5      21.9747 
          5e-5      21.0734 
    5.45254e-5      20.1787 
    5.88199e-5      19.4271 
     6.4705e-5      18.5213 
    7.00808e-5      17.7958 
    7.65948e-5      17.0212 
    8.42474e-5      16.2287 
    9.17864e-5       15.547 
        0.0001       14.894 
   0.000109051      14.2614 
    0.00011764        13.73 
    0.00012941      13.0896 
   0.000140162      12.5766 
    0.00015319       12.029 
   0.000168495      11.4687 
   0.000183573      10.9867 
        0.0002      10.5251 
   0.000218102      10.0778 
   0.000235279      9.70211 
    0.00025882      9.24936 
   0.000280323      8.88671 
   0.000306379      8.49956 
    0.00033699      8.10346 
   0.000367146      7.76277 
        0.0004       7.4364 
    0.00044102      7.08133 
   0.000479512      6.79051 
   0.000522137      6.50676 
   0.000566319      6.24714 
   0.000628541      5.92908 
   0.000666104      5.75904 
   0.000737321      5.47314 
   0.000818747      5.19316 
   0.000879362      5.01052 
   0.000958052      4.79981 
    0.00104427      4.59693 
    0.00113264      4.41361 
    0.00125708      4.18901 
    0.00133221      4.06895 
    0.00147464      3.86705 
    0.00163749      3.66933 
    0.00175872      3.54035 
     0.0019161      3.39154 
    0.00208855      3.24847 
    0.00226528      3.11936 
    0.00251416      2.96115 
    0.00266441      2.87656 
    0.00294928       2.7343 
    0.00327499      2.59497 
    0.00351745      2.50406 
    0.00383221      2.39916 
    0.00422949      2.28386 
    0.00459863       2.1904 
         0.005      2.10077 
    0.00545254      2.01279 
    0.00608035      1.90735 
    0.00666104      1.82335 
     0.0073732      1.73416 
    0.00818746      1.64674 
    0.00879362      1.58968 
    0.00958052      1.52382 
     0.0104427      1.46123 
     0.0113264       1.4054 
     0.0125708      1.33687 
     0.0133221      1.30017 
     0.0147464      1.23834 
     0.0163749      1.17767 
     0.0175872      1.13801 
      0.019161      1.09218 
          0.02      1.06996 
     0.0221336      1.02198 
     0.0245726     0.974746 
     0.0263879     0.943799 
     0.0287441     0.907958 
          0.03     0.890551 
     0.0322371     0.864227 
     0.0359094     0.826194 
          0.04     0.789833 
     0.0447214     0.757769 
          0.05     0.727007 
          0.06      0.68666 
          0.07     0.661769 
          0.08     0.648897 
          0.09     0.646473 
           0.1     0.654094 
          0.11      0.67226 
          0.12     0.702321 
          0.13      0.74658 
          0.14     0.808517 
          0.15     0.893148 
          0.16      1.00748 
          0.17        1.161 
          0.18      1.36568 
         0.185      1.49133 
          0.19      1.63452 
         0.195      1.79612 
           0.2      1.97593 
         0.205      2.17199 
         0.215      2.59116 
          0.22      2.79445 
         0.225       2.9745 
          0.23      3.11488 
         0.232      3.15652 
         0.234       3.1887 
         0.236      3.21088 
         0.239      3.22471 
         0.242       3.2151 
         0.244      3.19608 
         0.246      3.16754 
         0.248      3.13016 
          0.25      3.08477 
         0.255      2.94235 
          0.26      2.77086 
          0.27      2.39547 
          0.28      2.03834 
          0.29      1.73301 
           0.3      1.48451 
          0.31      1.28608 
          0.32      1.12818 
          0.33      1.00196 
          0.34     0.900192 
          0.35       0.8173 
          0.36     0.749055 
          0.37     0.692272 
          0.38     0.644545 
           0.4     0.569371 
          0.42     0.513408 
          0.44     0.470505 
          0.46     0.436785 
          0.48     0.409714 
           0.5     0.387586 
          0.52     0.369215 
          0.54     0.353757 
          0.56     0.340599 
          0.58     0.329285 
           0.6      0.31947 
          0.62      0.31089 
          0.64     0.303336 
          0.66     0.296645 
          0.68     0.290687 
           0.7     0.285356 
          0.75     0.274238 
           0.8     0.265538 
          0.85     0.258613 
           0.9     0.253028 
          0.95      0.24848 
             1     0.244753 
           1.1     0.239163 
           1.2     0.235394 
           1.3     0.232927 
           1.4     0.231421 
          1.55     0.230446 
           1.6     0.230376 
          1.75     0.230795 
          1.84     0.231398 
          1.92     0.230755 
             2     0.228749 
           2.1     0.224914 
          2.25      0.21743 
          2.45     0.205512 
          2.55     0.199227 
           2.8     0.174736 
           2.9     0.165908 
             3     0.158204 
           3.1     0.151539 
           3.2      0.14572 
           3.3     0.140594 
           3.4     0.136075 
           3.5     0.132134 
           3.6     0.128773 
           3.7     0.125978 
           3.8      0.12469 
           3.9      0.12385 
             4      0.12238 
