#ZVView-data-copy:   4-Feb-2026 15:51:44
#=======================================
#
#name:   ENDF/B-VIII.1: LI-6(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  831
#data...
#            X            Y
#          MeV        barns
         1e-11      47200.9 
   1.10304e-11      44942.3 
   1.21669e-11      42791.7 
   1.34206e-11      40744.1 
   1.48034e-11      38794.5 
   1.63287e-11      36938.1 
   1.80111e-11      35170.6 
   1.98669e-11      33487.7 
   2.19139e-11      31885.3 
   2.41719e-11      30359.5 
   2.66625e-11      28906.8 
   2.94097e-11      27523.6 
     3.244e-11      26206.6 
   3.57825e-11      24952.6 
   3.94694e-11      23758.6 
   4.35362e-11      22621.7 
   4.80221e-11      21539.2 
   5.29701e-11      20508.6 
    5.8428e-11      19527.2 
   6.44483e-11      18592.8 
   7.10888e-11      17703.1 
   7.84136e-11        16856 
   8.64931e-11      16049.5 
   9.54051e-11      15281.5 
   1.05235e-10      14550.3 
   1.16078e-10        13854 
   1.28039e-10      13191.1 
   1.41231e-10      12559.9 
   1.55784e-10      11958.9 
   1.71835e-10      11386.7 
    1.8954e-10      10841.8 
    2.0907e-10        10323 
   2.30612e-10      9829.05 
   2.54374e-10      9358.73 
   2.80584e-10      8910.91 
   3.09494e-10      8484.53 
   3.41383e-10      8078.54 
   3.43791e-10      8052.08 
   3.76558e-10      7691.98 
   3.81871e-10      7641.59 
   4.15358e-10      7323.92 
   4.24189e-10      7251.61 
   4.58155e-10      6973.48 
   4.71174e-10      6881.45 
   5.05362e-10       6639.8 
   5.23388e-10      6529.81 
   5.57433e-10      6322.09 
    5.8136e-10      6196.06 
   6.14869e-10      6019.58 
   6.45785e-10      5879.02 
   6.78223e-10      5731.55 
   7.17315e-10      5578.13 
   7.48105e-10       5457.3 
   7.96806e-10      5292.31 
   8.25188e-10      5196.17 
   8.85063e-10      5021.08 
   9.10213e-10      4947.54 
   9.83144e-10      4763.45 
      1.004e-9      4710.81 
    1.09204e-9      4518.97 
    1.10745e-9       4485.4 
    1.21306e-9      4286.77 
    1.22155e-9      4270.79 
    1.34742e-9      4066.44 
    1.48625e-9      3871.87 
    1.49674e-9      3859.19 
    1.63939e-9      3686.61 
    1.66252e-9      3662.46 
    1.80831e-9      3510.22 
     1.8597e-9       3463.9 
    1.99463e-9      3342.27 
    2.08025e-9      3275.65 
    2.20016e-9      3182.36 
    2.32697e-9      3097.18 
    2.42685e-9      3030.09 
    2.60294e-9         2928 
    2.67691e-9      2885.12 
    2.91165e-9      2767.64 
    2.95273e-9      2747.08 
    3.25697e-9      2615.65 
    3.27994e-9      2607.08 
    3.59256e-9      2490.51 
    3.69464e-9      2457.65 
    3.96272e-9      2371.36 
    4.16197e-9      2315.99 
    4.37103e-9      2257.91 
    4.72126e-9      2173.91 
    4.82141e-9      2149.89 
    5.31819e-9      2047.04 
    5.35571e-9      2040.33 
    5.86616e-9      1949.11 
    6.11796e-9      1910.26 
    6.47059e-9      1855.87 
    6.98905e-9      1786.83 
     7.1373e-9      1767.09 
    7.87271e-9      1682.56 
     8.0401e-9      1665.95 
    8.68389e-9      1602.07 
    9.31399e-9       1548.1 
