#ZVView-data-copy:  12-Mar-2026 01:29:20
#=======================================
#
#name:   BROND-3.1: U-235(N,F)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  45492
#data...
#            X            Y
#          MeV        barns
         1e-11      31388.3 
   1.10304e-11      29886.2 
   1.21669e-11        28456 
   1.34206e-11      27094.2 
   1.48034e-11      25797.6 
   1.63287e-11      24562.9 
   1.80111e-11      23387.4 
   1.98669e-11      22268.1 
   2.19139e-11      21202.4 
   2.41719e-11      20187.6 
   2.66625e-11      19221.4 
   2.94097e-11      18301.4 
     3.244e-11      17425.4 
   3.57825e-11      16591.3 
   3.94694e-11      15797.2 
   4.35362e-11        15041 
   4.80221e-11      14320.9 
   5.29701e-11      13635.4 
    5.8428e-11      12982.6 
   6.44483e-11        12361 
   7.10888e-11      11769.2 
   7.84136e-11      11205.6 
   8.64931e-11        10669 
   9.54051e-11      10158.1 
   1.05235e-10      9671.58 
   1.16078e-10      9208.32 
   1.28039e-10      8767.22 
   1.41231e-10      8347.19 
   1.55784e-10      7947.24 
   1.71835e-10       7566.4 
    1.8954e-10      7203.76 
    2.0907e-10      6858.44 
   2.30612e-10      6529.62 
   2.54374e-10       6216.5 
   2.80584e-10      5918.32 
   3.09494e-10      5634.39 
   3.41383e-10         5364 
   3.76558e-10      5106.51 
   4.15358e-10      4861.31 
   4.58155e-10       4627.8 
   5.05362e-10      4405.42 
   5.57433e-10      4193.63 
   6.14869e-10      3991.94 
   6.78223e-10      3799.84 
   7.48105e-10       3616.9 
   8.25188e-10      3442.65 
   9.10213e-10      3276.69 
      1.004e-9      3118.61 
    1.10745e-9      2968.04 
    1.22155e-9      2824.62 
    1.34742e-9      2688.01 
    1.48625e-9      2557.87 
    1.63939e-9      2433.89 
    1.80831e-9      2315.79 
    1.99463e-9      2203.28 
    2.20016e-9      2096.09 
    2.42685e-9      1993.97 
    2.67691e-9      1896.69 
    2.95273e-9      1804.02 
    3.25697e-9      1715.75 
    3.59256e-9      1631.66 
    3.96272e-9      1551.57 
    4.37103e-9      1475.27 
    4.82141e-9      1402.56 
    5.31819e-9      1333.25 
    5.86616e-9       1267.2 
    6.47059e-9      1204.27 
     7.1373e-9      1144.35 
    7.87271e-9       1087.3 
    8.68389e-9         1033 
    9.57865e-9      981.351 
    1.05656e-8      932.212 
    1.16543e-8      885.441 
    1.28551e-8      840.893 
    1.41796e-8       798.45 
    1.56406e-8      758.012 
    1.72522e-8      719.467 
    1.90298e-8      682.698 
    2.09906e-8      647.592 
    2.31534e-8      614.052 
    2.52419e-8      585.734 
       2.53e-8      584.994 
    2.79068e-8      554.105 
    3.07823e-8      524.438 
     3.3954e-8      495.987 
    3.74525e-8      468.724 
    4.13115e-8      442.523 
    4.52511e-8      419.069 
     4.9564e-8      396.502 
    5.42907e-8       374.79 
    5.94651e-8      353.947 
     6.5136e-8      333.944 
    7.13441e-8      314.804 
    7.76004e-8      297.894 
    8.44053e-8      281.726 
     9.1807e-8      266.318 
    9.98577e-8      251.697 
    1.07859e-7      239.014 
    1.16495e-7      227.075 
     1.2583e-7      215.924 
     1.3496e-7      206.552 
    1.44752e-7      197.998 
    1.54168e-7      191.106 
    1.64204e-7      185.106 
    1.73669e-7      180.668 
    1.83679e-7      177.245 
    1.92905e-7       175.25 
    2.02604e-7      174.365 
    2.04802e-7      174.338 
    2.15099e-7      175.063 
    2.25904e-7      177.267 
    2.37263e-7      180.945 
    2.61709e-7      190.693 
    2.71031e-7      193.411 
    2.79155e-7      194.535 
    2.82007e-7      194.586 
    2.88003e-7      194.049 
    2.94112e-7      192.574 
    3.00365e-7      190.112 
      3.089e-7      185.357 
    3.17677e-7      179.127 
    3.31314e-7      167.829 
    3.52865e-7      149.202 
    3.65451e-7      139.144 
    3.75836e-7      131.586 
    3.86515e-7       124.55 
    3.97498e-7      118.063 
    4.08793e-7      112.118 
    4.20409e-7      106.686 
    4.32355e-7      101.727 
    4.44641e-7      97.1995 
    4.60479e-7       92.083 
    4.76904e-7      87.4872 
    4.93891e-7      83.3562 
    5.11508e-7      79.6198 
    5.29727e-7      76.2392 
    5.52466e-7      72.5865 
     5.7618e-7      69.3262 
    6.00912e-7      66.4172 
    6.26706e-7      63.8294 
    6.53607e-7      61.5435 
    6.81663e-7      59.5549 
    7.10923e-7      57.8633 
    7.41439e-7      56.4823 
    7.73265e-7      55.4601 
    8.00848e-7      54.9262 
    8.29373e-7      54.7467 
    8.53761e-7       54.932 
    8.78021e-7      55.4781 
    8.96689e-7      56.1885 
     9.1571e-7      57.2223 
    9.35179e-7      58.6703 
    9.48373e-7      59.9199 
    9.61753e-7      61.4493 
    9.75321e-7      63.3152 
    9.89081e-7      65.5873 
    1.00304e-6      68.3504 
    1.01362e-6       70.803 
    1.02431e-6      73.6295 
    1.03515e-6      76.8899 
    1.04609e-6      80.6068 
    1.05342e-6      83.3367 
    1.06828e-6      89.4056 
    1.09481e-6      100.907 
    1.10557e-6      104.901 
    1.11251e-6      106.895 
     1.1184e-6      108.077 
    1.12527e-6      108.722 
    1.12723e-6      108.741 
    1.13156e-6      108.504 
    1.13728e-6      107.565 
    1.14242e-6      106.095 
    1.14756e-6      104.032 
    1.15332e-6      101.042 
     1.1594e-6      97.1881 
    1.16548e-6      92.7279 
     1.1737e-6      85.9867 
    1.19443e-6      67.7427 
    1.20283e-6      60.7276 
    1.20917e-6      55.7917 
    1.21551e-6      51.2244 
