#ZVView-data-copy:  12-Mar-2026 01:30:19
#=======================================
#
#name:   CENDL-3.2: U-235(N,F)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  45407
#data...
#            X            Y
#          MeV        barns
   1.10304e-11      29836.8 
   1.21669e-11      28408.9 
   1.34206e-11      27049.4 
   1.48034e-11      25754.9 
   1.63287e-11      24522.3 
   1.80111e-11      23348.7 
   1.98669e-11      22231.3 
   2.19139e-11      21167.3 
   2.41719e-11      20154.2 
   2.66625e-11      19189.6 
   2.94097e-11      18271.1 
     3.244e-11      17396.6 
   3.57825e-11      16563.9 
   3.94694e-11        15771 
   4.35362e-11      15016.1 
   4.80221e-11      14297.2 
   5.29701e-11      13612.8 
    5.8428e-11      12961.1 
   6.44483e-11      12340.6 
   7.10888e-11      11749.7 
   7.84136e-11      11187.1 
   8.64931e-11      10651.4 
   9.54051e-11      10141.3 
   1.05235e-10      9655.58 
   1.16078e-10      9193.09 
   1.28039e-10      8752.71 
   1.41231e-10      8333.38 
   1.55784e-10       7934.1 
   1.71835e-10      7553.89 
    1.8954e-10      7191.85 
    2.0907e-10       6847.1 
   2.30612e-10      6518.82 
   2.54374e-10      6206.22 
   2.80584e-10      5908.54 
   3.09494e-10      5625.07 
   3.41383e-10      5355.13 
   3.76558e-10      5098.07 
   4.15358e-10      4853.28 
   4.58155e-10      4620.15 
   5.05362e-10      4398.14 
   5.57433e-10      4186.71 
   6.14869e-10      3985.35 
   6.78223e-10      3793.57 
   7.48105e-10      3610.93 
   8.25188e-10      3436.97 
   9.10213e-10      3271.28 
      1.004e-9      3113.47 
    1.10745e-9      2963.15 
    1.22155e-9      2819.97 
    1.34742e-9      2683.58 
    1.48625e-9      2553.66 
    1.63939e-9      2429.89 
    1.80831e-9      2311.99 
    1.99463e-9      2199.66 
    2.20016e-9      2092.65 
    2.42685e-9      1990.71 
    2.67691e-9      1893.59 
    2.95273e-9      1801.07 
    3.25697e-9      1712.94 
    3.59256e-9         1629 
    3.96272e-9      1549.05 
    4.37103e-9      1472.87 
    4.82141e-9      1400.28 
    5.31819e-9      1331.09 
    5.86616e-9      1265.15 
    6.47059e-9      1202.33 
     7.1373e-9      1142.51 
    7.87271e-9      1085.55 
    8.68389e-9      1031.35 
    9.57865e-9      979.785 
    1.05656e-8      930.728 
    1.16543e-8      884.036 
    1.28551e-8      839.563 
    1.41796e-8      797.192 
    1.56406e-8      756.821 
    1.72522e-8       718.34 
    1.90298e-8      681.633 
    2.09906e-8      646.585 
    2.31534e-8        613.1 
    2.52419e-8      584.828 
       2.53e-8      584.089 
    2.79068e-8      553.251 
    3.07823e-8      523.633 
     3.3954e-8      495.227 
    3.74525e-8      468.008 
    4.13115e-8      441.848 
    4.52511e-8      418.432 
     4.9564e-8      395.899 
    5.42907e-8      374.221 
    5.94651e-8       353.41 
     6.5136e-8      333.437 
    7.13441e-8      314.325 
    7.76004e-8      297.438 
    8.44053e-8      281.292 
     9.1807e-8      265.903 
    9.98577e-8        251.3 
    1.07859e-7       238.63 
    1.16495e-7      226.702 
     1.2583e-7      215.558 
     1.3496e-7       206.19 
    1.44752e-7      197.637 
    1.54168e-7      190.742 
    1.64204e-7      184.733 
    1.73669e-7      180.287 
    1.83679e-7      176.849 
    1.92905e-7      174.834 
    2.02604e-7      173.925 
    2.04802e-7      173.892 
    2.15099e-7      174.584 
    2.25904e-7      176.747 
    2.37263e-7      180.376 
    2.61709e-7      190.005 
    2.71031e-7      192.683 
    2.79155e-7      193.781 
    2.81294e-7      193.832 
    2.88003e-7      193.279 
