#ZVView-data-copy:  12-Mar-2026 01:18:10
#=======================================
#
#name:   ENDF/B-VIII.1: U-235(N,F)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  45839
#data...
#            X            Y
#          MeV        barns
         1e-11      31432.5 
   1.10304e-11      29928.3 
   1.21669e-11      28496.1 
   1.34206e-11      27132.4 
   1.48034e-11      25833.9 
   1.63287e-11      24597.6 
   1.80111e-11      23420.4 
   1.98669e-11      22299.5 
   2.19139e-11      21232.3 
   2.41719e-11      20216.1 
   2.66625e-11      19248.6 
   2.94097e-11      18327.3 
     3.244e-11      17450.1 
   3.57825e-11      16614.8 
   3.94694e-11      15819.6 
   4.35362e-11      15062.3 
   4.80221e-11      14341.3 
   5.29701e-11      13654.8 
    5.8428e-11      13001.1 
   6.44483e-11      12378.6 
   7.10888e-11        11786 
   7.84136e-11      11221.7 
   8.64931e-11      10684.3 
   9.54051e-11      10172.7 
   1.05235e-10       9685.5 
   1.16078e-10      9221.61 
   1.28039e-10       8779.9 
   1.41231e-10       8359.3 
   1.55784e-10      7958.81 
   1.71835e-10      7577.45 
    1.8954e-10      7214.32 
    2.0907e-10      6868.53 
   2.30612e-10      6539.27 
   2.54374e-10      6225.72 
   2.80584e-10      5927.15 
   3.09494e-10      5642.84 
   3.41383e-10      5372.09 
   3.76558e-10      5114.26 
   4.15358e-10      4868.73 
   4.58155e-10      4634.91 
   5.05362e-10      4412.24 
   5.57433e-10      4200.18 
   6.14869e-10      3998.21 
   6.78223e-10      3805.87 
   7.48105e-10      3622.67 
   8.25188e-10      3448.19 
   9.10213e-10         3282 
      1.004e-9      3123.71 
    1.10745e-9      2972.93 
    1.22155e-9      2829.29 
    1.34742e-9      2692.47 
    1.48625e-9      2562.12 
    1.63939e-9      2437.94 
    1.80831e-9      2319.63 
    1.99463e-9      2206.89 
    2.20016e-9      2099.48 
    2.42685e-9      1997.12 
    2.67691e-9      1899.58 
    2.95273e-9      1806.62 
    3.25697e-9      1718.03 
    3.59256e-9      1633.61 
    3.96272e-9      1553.14 
    4.37103e-9      1476.44 
    4.82141e-9      1403.33 
    5.31819e-9      1333.63 
    5.86616e-9      1267.19 
    6.47059e-9      1203.87 
     7.1373e-9      1143.56 
    7.89126e-9       1084.8 
    8.66899e-9      1032.45 
    9.56222e-9      980.459 
    1.05475e-8      931.033 
    1.16343e-8      884.066 
     1.2833e-8      839.462 
    1.41553e-8      797.122 
    1.56138e-8      756.938 
    1.72226e-8      718.791 
    1.89972e-8      682.549 
    2.09546e-8      648.068 
    2.31137e-8       615.17 
    2.52203e-8      587.105 
       2.53e-8       586.11 
    2.79068e-8      555.844 
    3.07823e-8      526.817 
     3.3954e-8      498.939 
    3.74525e-8      472.146 
    4.13115e-8      446.393 
    4.55681e-8      421.626 
    4.99137e-8      399.501 
     5.4671e-8       378.24 
    5.98846e-8      357.801 
    6.55923e-8      338.176 
    7.18474e-8      319.354 
    7.86952e-8      301.361 
    8.55961e-8      285.484 
    9.31022e-8      270.312 
    1.01266e-7      255.895 
    1.10147e-7      242.281 
    1.18972e-7      230.502 
    1.28499e-7      219.474 
    1.38795e-7      209.283 
    1.48866e-7      200.869 
    1.59667e-7      193.398 
    1.70053e-7      187.644 
    1.79855e-7       183.49 
    1.90221e-7      180.432 
    1.99786e-7      178.844 
    2.07475e-7      178.446 
     2.1658e-7      178.993 
     2.2747e-7      181.021 
    2.38896e-7      184.525 
    2.63511e-7      193.718 
    2.73059e-7      196.074 
    2.80818e-7      196.719 
    2.88173e-7      196.024 
    2.94285e-7       194.41 
    3.00542e-7        191.8 
    3.09082e-7      186.846 
    3.17865e-7      180.447 
    3.31509e-7      168.975 
    3.53073e-7      150.242 
    3.65667e-7      140.192 
    3.76057e-7      132.659 
    3.86743e-7      125.652 
    3.97733e-7      119.195 
    4.09035e-7      113.271 
    4.20657e-7      107.847 
    4.32611e-7      102.882 
     4.4802e-7      97.2639 
    4.64001e-7      92.2071 
    4.80528e-7      87.6553 
    4.97668e-7      83.5315 
    5.15395e-7      79.7912 
    5.37518e-7      75.7384 
    5.60591e-7      72.1066 
    5.84654e-7      68.8484 
     6.0975e-7      65.9293 
    6.35923e-7      63.3282 
     6.6322e-7       61.033 
    6.91688e-7      59.0412 
    7.21379e-7      57.3655 
    7.52343e-7       56.036 
     7.7918e-7      55.2287 
    8.06933e-7      54.7464 
    8.24964e-7       54.641 
    8.48406e-7      54.7769 
    8.72513e-7      55.2846 
    8.91065e-7      55.9736 
    9.09966e-7      56.9935 
    9.29313e-7      58.4352 
    9.42424e-7      59.6858 
     9.5572e-7      61.2209 
    9.69203e-7      63.0972 
    9.82877e-7      65.3856 
    9.96744e-7      68.1732 
    1.00727e-6      70.6518 
    1.01789e-6      73.5151 
    1.02866e-6      76.8297 
    1.03953e-6      80.6284 
     1.0505e-6      84.9388 
    1.06158e-6      89.7478 
    1.09174e-6       103.92 
    1.09945e-6      107.163 
    1.10715e-6      109.856 
    1.11387e-6      111.549 
    1.12059e-6      112.437 
    1.12302e-6      112.527 
      1.129e-6      112.165 
    1.13423e-6      111.121 
    1.13885e-6       109.61 
    1.14486e-6      106.814 
    1.15088e-6      103.124 
    1.15695e-6      98.5901 
    1.16305e-6      93.3591 
    1.17121e-6       85.614 
    1.18773e-6      69.1117 
    1.19401e-6       63.132 
    1.20028e-6      57.5361 
    1.20449e-6      54.0428 
    1.20873e-6      50.7623 
    1.21297e-6      47.7319 
    1.21721e-6      44.9571 
    1.22148e-6      42.4209 
    1.22578e-6      40.1235 
    1.23008e-6       38.074 
    1.23438e-6      36.2592 
    1.23872e-6      34.6528 
    1.24308e-6      33.2411 
    1.24744e-6      32.0158 
     1.2518e-6      30.9561 
    1.25747e-6      29.7907 
    1.26308e-6       28.836 
    1.26873e-6      28.0297 
    1.27438e-6      27.3428 
    1.28265e-6      26.4873 
    1.29618e-6      25.3042 
    1.32373e-6       23.164 
    1.34241e-6      21.8227 
    1.36135e-6      20.6012 
    1.37572e-6      19.7865 
    1.39023e-6       19.063 
    1.40494e-6      18.4232 
    1.41978e-6      17.8624 
    1.43981e-6      17.2202 
    1.46013e-6      16.6777 
    1.48073e-6      16.2157 
    1.51214e-6      15.6395 
    1.54429e-6      15.1659 
    1.57704e-6      14.7685 
    1.62186e-6       14.322 
    1.67971e-6      13.8616 
    1.73438e-6      13.5186 
    1.78366e-6      13.2855 
    1.82159e-6      13.1721 
    1.84637e-6       13.146 
    1.87312e-6      13.1888 
    1.89399e-6      13.3081 
     1.9079e-6      13.4577 
    1.91775e-6      13.6157 
    1.92819e-6      13.8512 
    1.93598e-6      14.0908 
    1.94371e-6      14.4028 
    1.95144e-6      14.8147 
    1.95842e-6      15.3015 
    1.96284e-6      15.6792 
    1.96725e-6      16.1218 
    1.97166e-6      16.6381 
    1.97615e-6      17.2471 
    1.98063e-6      17.9472 
    1.98362e-6       18.466 
    1.98923e-6      19.5487 
    1.99484e-6      20.7584 
    2.00875e-6      23.9973 
    2.01397e-6      25.1174 
    2.01919e-6      26.0638 
    2.02319e-6      26.6227 
    2.02719e-6      27.0037 
    2.03082e-6      27.1774 
    2.03266e-6      27.1997 
    2.03598e-6      27.1262 
    2.03946e-6      26.8943 
    2.04294e-6      26.5123 
      2.047e-6      25.8967 
    2.05106e-6      25.1271 
    2.05715e-6       23.764 
    2.07077e-6       20.403 
    2.07657e-6      19.0623 
    2.08092e-6      18.1436 
    2.08526e-6      17.3114 
    2.08961e-6      16.5693 
    2.09396e-6      15.9154 
    2.09802e-6      15.3801 
    2.10207e-6      14.9111 
    2.10816e-6      14.3166 
    2.11264e-6      13.9505 
    2.11999e-6      13.4559 
    2.12734e-6       13.065 
    2.13475e-6      12.7497 
    2.14465e-6      12.4173 
    2.15482e-6      12.1515 
    2.17047e-6       11.841 
    2.18902e-6      11.5705 
    2.21177e-6      11.3231 
    2.24297e-6       11.068 
    2.28413e-6      10.8085 
    2.36377e-6      10.4071 
    2.46309e-6      9.92542 
    2.51534e-6      9.61665 
    2.55083e-6       9.3542 
    2.57782e-6      9.10964 
    2.60506e-6      8.81025 
    2.62331e-6      8.57689 
    2.66476e-6      8.00713 
    2.67806e-6      7.87407 
    2.68804e-6      7.83034 
    2.68914e-6      7.82976 
    2.69579e-6      7.84897 
    2.70303e-6      7.92264 
    2.70819e-6      8.01576 
    2.71335e-6      8.14803 
     2.7185e-6      8.32369 
    2.72366e-6      8.54623 
    2.72882e-6      8.81806 
    2.73388e-6      9.13348 
    2.73888e-6      9.49284 
    2.74566e-6      10.0489 
    2.75225e-6      10.6583 
    2.76027e-6      11.4693 
    2.78341e-6      13.9289 
    2.79362e-6      14.9155 
    2.80216e-6      15.6407 
    2.80903e-6      16.1485 
    2.81591e-6      16.5879 
    2.82622e-6      17.1279 
    2.83756e-6      17.5833 
     2.8489e-6       17.933 
    2.87158e-6      18.4698 
    2.89426e-6      18.9833 
    2.90938e-6      19.3895 
    2.92426e-6      19.8748 
     2.9389e-6      20.4607 
    2.95346e-6      21.1759 
    2.96432e-6      21.8132 
    2.97518e-6      22.5558 
    2.98603e-6       23.422 
    2.99689e-6      24.4332 
    3.00775e-6      25.6151 
     3.0186e-6      26.9975 
    3.02584e-6       28.047 
    3.03597e-6      29.7109 
    3.04466e-6      31.3367 
    3.05334e-6      33.1624 
    3.06138e-6      35.0362 
    3.07166e-6      37.6875 
    3.08324e-6      40.9685 
    3.10582e-6      47.6781 
     3.1156e-6      50.2933 
    3.12212e-6      51.7735 
    3.12863e-6      52.9584 
    3.13475e-6      53.7424 
    3.14105e-6      54.1681 
    3.14421e-6      54.2244 
    3.14999e-6      54.0442 
