#ZVView-data-copy:  12-Mar-2026 01:26:21
#=======================================
#
#name:   JEFF-4.0: U-235(N,F)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  82122
#data...
#            X            Y
#          MeV        barns
         1e-11      30975.3 
   1.03125e-11      30502.4 
    1.0625e-11      30050.4 
   1.09375e-11        29618 
     1.125e-11      29203.7 
   1.15625e-11      28806.3 
    1.1875e-11      28424.7 
   1.21875e-11      28057.9 
      1.25e-11      27704.9 
   1.28125e-11      27364.9 
    1.3125e-11      27037.2 
   1.34375e-11      26720.9 
     1.375e-11      26415.5 
    1.4375e-11      25834.8 
       1.5e-11      25290.8 
    1.5625e-11      24779.8 
     1.625e-11      24298.5 
    1.6875e-11      23844.2 
      1.75e-11      23414.5 
    1.8125e-11      23007.2 
     1.875e-11      22620.5 
    1.9375e-11      22252.6 
         2e-11      21902.1 
   2.09375e-11      21406.1 
    2.1875e-11      20942.3 
   2.28125e-11      20507.4 
     2.375e-11      20098.5 
   2.46875e-11      19713.1 
    2.5625e-11      19349.1 
   2.65625e-11      19004.5 
      2.75e-11      18677.7 
   2.84375e-11      18367.2 
    2.9375e-11      18071.6 
   3.03125e-11      17789.9 
     3.125e-11        17521 
   3.21875e-11      17263.9 
    3.3125e-11      17017.8 
   3.40625e-11      16781.9 
       3.5e-11      16555.6 
   3.59375e-11      16338.1 
    3.6875e-11      16129.1 
   3.78125e-11      15927.8 
     3.875e-11      15733.9 
   3.96875e-11      15546.9 
    4.0625e-11      15366.4 
      4.25e-11      15023.5 
    4.4375e-11      14702.6 
     4.625e-11      14401.4 
    4.8125e-11        14118 
         5e-11      13850.7 
   5.15625e-11      13639.1 
    5.3125e-11        13437 
   5.46875e-11      13243.5 
     5.625e-11      13058.2 
   5.78125e-11      12880.5 
    5.9375e-11      12709.8 
   6.09375e-11      12545.7 
      6.25e-11      12387.8 
   6.40625e-11      12235.8 
    6.5625e-11      12089.2 
   6.71875e-11      11947.7 
     6.875e-11      11811.1 
    7.1875e-11      11551.3 
       7.5e-11        11308 
    7.8125e-11      11079.4 
     8.125e-11      10864.2 
    8.4375e-11        10661 
      8.75e-11      10468.7 
    9.0625e-11      10286.5 
     9.375e-11      10113.5 
    9.6875e-11      9948.97 
         1e-10      9792.17 
   1.03125e-10      9642.56 
    1.0625e-10       9499.6 
   1.09375e-10       9362.8 
     1.125e-10      9231.75 
   1.15625e-10      9106.04 
    1.1875e-10      8985.33 
   1.21875e-10      8869.29 
      1.25e-10      8757.62 
   1.28125e-10      8650.07 
    1.3125e-10      8546.38 
   1.34375e-10      8446.33 
     1.375e-10       8349.7 
    1.4375e-10      8165.99 
       1.5e-10      7993.88 
    1.5625e-10       7832.2 
     1.625e-10      7679.94 
    1.6875e-10      7536.21 
      1.75e-10      7400.25 
    1.8125e-10      7271.39 
     1.875e-10      7149.01 
    1.9375e-10      7032.61 
         2e-10       6921.7 
   2.09375e-10      6764.74 
    2.1875e-10      6617.98 
   2.28125e-10      6480.36 
     2.375e-10      6350.96 
   2.46875e-10      6229.01 
    2.5625e-10       6113.8 
   2.65625e-10      6004.75 
      2.75e-10      5901.31 
   2.84375e-10      5803.04 
    2.9375e-10       5709.5 
   3.03125e-10      5620.33 
     3.125e-10      5535.21 
   3.21875e-10      5453.83 
    3.3125e-10      5375.92 
   3.40625e-10      5301.25 
       3.5e-10       5229.6 
   3.59375e-10      5160.78 
    3.6875e-10      5094.59 
   3.78125e-10      5030.87 
     3.875e-10      4969.48 
   3.96875e-10      4910.28 
    4.0625e-10      4853.14 
      4.25e-10      4744.57 
    4.4375e-10      4642.95 
     4.625e-10      4547.58 
    4.8125e-10      4457.82 
         5e-10      4373.16 
   5.15625e-10      4306.16 
    5.3125e-10      4242.14 
   5.46875e-10      4180.88 
     5.625e-10      4122.18 
   5.78125e-10      4065.88 
    5.9375e-10      4011.81 
   6.09375e-10      3959.84 
      6.25e-10      3909.82 
   6.40625e-10      3861.65 
    6.5625e-10       3815.2 
   6.71875e-10      3770.38 
     6.875e-10      3727.09 
    7.1875e-10      3644.78 
       7.5e-10      3567.67 
    7.8125e-10      3495.23 
     8.125e-10         3427 
    8.4375e-10      3362.59 
      8.75e-10      3301.66 
    9.0625e-10       3243.9 
     9.375e-10      3189.05 
    9.6875e-10      3136.87 
          1e-9      3087.16 
    1.03125e-9      3039.71 
     1.0625e-9      2994.37 
    1.09375e-9      2950.99 
      1.125e-9      2909.42 
    1.15625e-9      2869.55 
     1.1875e-9      2831.25 
    1.21875e-9      2794.44 
       1.25e-9      2759.01 
    1.28125e-9      2724.89 
     1.3125e-9      2691.99 
    1.34375e-9      2660.24 
      1.375e-9      2629.57 
     1.4375e-9      2571.27 
        1.5e-9      2516.64 
     1.5625e-9      2465.31 
      1.625e-9      2416.97 
     1.6875e-9      2371.33 
       1.75e-9      2328.15 
     1.8125e-9      2287.22 
      1.875e-9      2248.35 
     1.9375e-9      2211.36 
          2e-9      2176.13 
    2.09375e-9      2126.25 
     2.1875e-9       2079.6 
    2.28125e-9      2035.86 
      2.375e-9      1994.72 
    2.46875e-9      1955.94 
     2.5625e-9      1919.31 
    2.65625e-9      1884.62 
       2.75e-9      1851.72 
    2.84375e-9      1820.46 
     2.9375e-9       1790.7 
    3.03125e-9      1762.34 
      3.125e-9      1735.25 
    3.21875e-9      1709.35 
     3.3125e-9      1684.56 
    3.40625e-9       1660.8 
        3.5e-9         1638 
    3.59375e-9      1616.09 
     3.6875e-9      1595.02 
    3.78125e-9      1574.74 
      3.875e-9       1555.2 
    3.96875e-9      1536.35 
     4.0625e-9      1518.16 
       4.25e-9      1483.59 
     4.4375e-9      1451.24 
      4.625e-9      1420.87 
     4.8125e-9      1392.29 
          5e-9      1365.33 
    5.15625e-9      1343.99 
     5.3125e-9      1323.61 
    5.46875e-9       1304.1 
      5.625e-9      1285.41 
    5.78125e-9      1267.48 
     5.9375e-9      1250.27 
    6.09375e-9      1233.72 
       6.25e-9       1217.8 
    6.40625e-9      1202.47 
     6.5625e-9      1187.68 
    6.71875e-9      1173.42 
      6.875e-9      1159.64 
     7.1875e-9      1133.45 
        7.5e-9      1108.91 
     7.8125e-9      1085.86 
      8.125e-9      1064.15 
     8.4375e-9      1043.66 
       8.75e-9      1024.28 
     9.0625e-9       1005.9 
      9.375e-9      988.456 
     9.6875e-9      971.859 
          1e-8      956.045 
    1.03125e-8      940.956 
     1.0625e-8      926.535 
    1.09375e-8      912.736 
      1.125e-8      899.515 
    1.15625e-8      886.831 
     1.1875e-8      874.649 
    1.21875e-8      862.937 
       1.25e-8      851.665 
    1.28125e-8      840.805 
     1.3125e-8      830.332 
    1.34375e-8      820.224 
      1.375e-8       810.46 
    1.40625e-8      801.019 
     1.4375e-8      791.885 
        1.5e-8      774.468 
     1.5625e-8       758.09 
      1.625e-8      742.647 
     1.6875e-8      728.052 
       1.75e-8      714.226 
     1.8125e-8      701.102 
      1.875e-8      688.621 
     1.9375e-8      676.731 
          2e-8      665.384 
    2.06625e-8      653.904 
     2.1325e-8      642.944 
    2.19875e-8      632.464 
      2.265e-8       622.43 
    2.33125e-8      612.808 
     2.3975e-8       603.57 
    2.46375e-8      594.692 
       2.53e-8      586.148 
    2.58307e-8      579.531 
    2.63613e-8      573.106 
    2.74227e-8      560.791 
     2.8484e-8      549.137 
