#ZVView-data-copy:  12-Mar-2026 01:27:57
#=======================================
#
#name:   JENDL-5: U-235(N,F)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  45375
#data...
#            X            Y
#          MeV        barns
         1e-11      30924.7 
    1.1036e-11      29437.3 
   1.21731e-11      28028.6 
   1.34274e-11      26687.3 
   1.48109e-11      25410.2 
    1.6337e-11      24194.1 
   1.80203e-11      23036.3 
    1.9877e-11      21933.9 
   2.19251e-11      20884.2 
   2.41842e-11      19884.7 
   2.66761e-11        18933 
   2.94247e-11      18026.9 
   3.24565e-11      17164.1 
   3.58008e-11      16342.6 
   3.94896e-11      15560.4 
   4.35584e-11      14815.6 
   4.80466e-11      14106.5 
   5.29971e-11      13431.2 
   5.84578e-11      12788.3 
   6.44811e-11      12176.1 
   7.11251e-11      11593.2 
   7.84536e-11      11038.2 
   8.65372e-11      10509.7 
   9.54537e-11      10006.5 
   1.05289e-10      9527.38 
   1.16138e-10      9071.16 
   1.28104e-10      8636.74 
   1.41304e-10       8223.1 
   1.55863e-10      7829.23 
   1.71923e-10      7454.19 
   1.89637e-10      7097.08 
   2.09177e-10      6757.03 
    2.3073e-10      6433.24 
   2.54503e-10      6124.91 
   2.80727e-10      5831.32 
   3.09652e-10      5551.75 
   3.41557e-10      5285.53 
    3.7675e-10      5032.02 
    4.1557e-10      4790.61 
   4.58389e-10      4560.73 
    5.0562e-10      4341.82 
   5.57717e-10      4133.35 
   6.15183e-10      3934.82 
   6.78569e-10      3745.76 
   7.48487e-10      3565.71 
   8.25609e-10      3394.24 
   9.10677e-10      3230.93 
    1.00451e-9      3075.41 
    1.10801e-9      2927.28 
    1.22218e-9       2786.2 
    1.34811e-9      2651.83 
    1.48701e-9      2523.85 
    1.64023e-9      2401.95 
    1.80923e-9      2285.84 
    1.99565e-9      2175.24 
    2.20128e-9       2069.9 
    2.42809e-9      1969.55 
    2.67827e-9      1873.97 
    2.95423e-9      1782.93 
    3.25863e-9      1696.22 
    3.59439e-9      1613.63 
    3.96474e-9      1534.97 
    4.37326e-9      1460.05 
    4.82387e-9      1388.68 
     5.3209e-9       1320.7 
    5.86915e-9      1255.96 
    6.47389e-9       1194.3 
    7.14094e-9      1135.59 
    7.87672e-9      1079.68 
    8.68832e-9      1026.43 
    9.58353e-9      975.745 
     1.0571e-8      927.506 
    1.16602e-8      881.604 
    1.28616e-8      837.914 
    1.41868e-8      796.296 
    1.56486e-8      756.612 
     1.7261e-8      718.757 
    1.90395e-8       682.63 
    2.10013e-8      648.126 
    2.31652e-8      615.142 
    2.52483e-8      587.358 
       2.53e-8      586.711 
    2.79068e-8      556.342 
    3.07823e-8      527.218 
     3.3954e-8      499.267 
    3.74525e-8       472.43 
    4.13115e-8      446.665 
    4.55681e-8      421.923 
    4.99137e-8       399.85 
     5.4671e-8      378.629 
    5.98846e-8      358.237 
    6.55923e-8      338.695 
    7.18474e-8      319.963 
    7.86952e-8      302.064 
    8.55961e-8      286.297 
    9.31022e-8      271.266 
    1.01266e-7       256.98 
    1.10147e-7      243.516 
    1.18972e-7      231.901 
    1.28499e-7      221.073 
    1.38795e-7      211.121 
    1.48866e-7      202.951 
    1.58549e-7      196.436 
     1.6887e-7      190.866 
    1.78604e-7      186.874 
    1.88898e-7      183.963 
    1.98386e-7      182.499 
    2.05949e-7      182.158 
    2.16304e-7      182.864 
    2.27169e-7      184.943 
    2.41958e-7      189.433 
    2.59514e-7       195.22 
    2.68665e-7       197.22 
    2.76035e-7       197.79 
    2.82495e-7      197.325 
    2.90522e-7      195.372 
    2.98777e-7      191.789 
    3.07267e-7       186.64 
    3.18212e-7      178.389 
    3.50999e-7      150.327 
    3.63519e-7       140.45 
    3.76468e-7      131.274 
    3.87165e-7      124.511 
    3.98167e-7      118.279 
    4.09481e-7      112.562 
    4.21116e-7      107.326 
    4.36138e-7      101.391 
    4.51672e-7      96.0717 
    4.67784e-7       91.278 
    4.84446e-7      86.9525 
    5.01726e-7      83.0261 
    5.19597e-7      79.4579 
      5.419e-7      75.5838 
    5.65161e-7      72.1042 
     5.8942e-7       68.976 
    6.14721e-7      66.1679 
    6.41108e-7      63.6588 
    6.68627e-7      61.4395 
    6.97327e-7      59.5092 
     7.2726e-7      57.8804 
    7.58477e-7      56.5822 
    7.85532e-7       55.789 
    8.13512e-7      55.3095 
    8.33146e-7      55.1982 
     8.5682e-7       55.341 
    8.81167e-7      55.8521 
    8.99903e-7      56.5424 
    9.18991e-7      57.5637 
     9.3853e-7      59.0093 
    9.51771e-7      60.2649 
    9.65199e-7      61.8081 
    9.78817e-7      63.6974 
    9.92626e-7      66.0037 
    1.00663e-6      68.8143 
    1.01726e-6      71.3131 
    1.02798e-6      74.1951 
    1.03886e-6      77.5187 
    1.04984e-6      81.3022 
    1.05719e-6      84.0741 
    1.07211e-6      90.2003 
     1.0949e-6      99.9953 
    1.10257e-6      102.954 
    1.11035e-6      105.476 
    1.11813e-6      107.283 
    1.12441e-6      108.057 
    1.12755e-6      108.174 
    1.13395e-6      107.793 
    1.13995e-6      106.629 
    1.14542e-6       104.86 
    1.15018e-6      102.781 
    1.15626e-6      99.4418 
    1.16233e-6      95.4147 
    1.16847e-6      90.7767 
    1.17668e-6      83.9234 
    1.19708e-6      65.9936 
    1.20341e-6      60.7236 
    1.20975e-6      55.7659 
    1.21611e-6      51.1523 
    1.22253e-6       46.897 
    1.22682e-6      44.2887 
     1.2311e-6      41.8617 
    1.23544e-6      39.5819 
    1.23978e-6      37.4799 
    1.24412e-6      35.5498 
    1.24847e-6      33.7857 
    1.25285e-6      32.1664 
